SYMBOL,NAME OF COMPANY, ISIN NUMBER,Exchange
MIDHANI,Mishra Dhatu Nigam Limited,INE099Z01011,NSE
MIDWESTLimited,Midwest Limited,INE0XAD01024,NSE
MINDACORP,Minda Corporation Limited,INE842C01021,NSE
MINDTECK,Mindteck (India) Limited,INE110B01017,NSE
MIRCELECTR,MIRC Electronics Limited,INE831A01028,NSE
MIRZAINT,Mirza International Limited,INE771A01026,NSE
MITCON,MITCON Consultancy & Engineering Services Limited,INE828O01033,NSE
MITTAL,Mittal Life Style Limited,INE997Y01027,NSE
MKPL,M K Proteins Limited,INE964W01021,NSE
MMFL,MM Forgings Limited,INE227C01017,NSE
MMP,MMP Industries Limited,INE511Y01018,NSE
MMTC,MMTC Limited,INE123F01029,NSE
MOBIKWIK,One Mobikwik Systems Limited,INE0HLU01028,NSE
MODINATUR,Modi Naturals Limited,INE537F01012,NSE
MODIRUBBER,Modi Rubber Limited,INE832A01018,NSE
MODIS,Modis Navnirman Limited,INE0L0L01012,NSE
MODISONLimited,MODISON LIMITED,INE737D01021,NSE
MODTHREAD,Modern Threads (India) Limited,INE794W01014,NSE
MOHITIND,Mohit Industries Limited,INE954E01012,NSE
MOIL,MOIL Limited,INE490G01020,NSE
MOKSH,Moksh Ornaments Limited,INE514Y01020,NSE
MOL,Meghmani Organics Limited,INE0CT101020,NSE
MOLDTECH,Mold-Tek Technologies Limited,INE835B01035,NSE
MOLDTKPAC,Mold-Tek Packaging Limited,INE893J01029,NSE
MONARCH,Monarch Networth Capital Limited,INE903D01011,NSE
MONEYBOXX,Moneyboxx Finance Limited,INE296Q01012,NSE
MONTECARLO,Monte Carlo Fashions Limited,INE950M01013,NSE
MOREPENLAB,Morepen Laboratories Limited,INE083A01026,NSE
MOSCHIP,Moschip Technologies Limited,INE935B01025,NSE
MOTHERSON,Samvardhana Motherson International Limited,INE775A01035,NSE
MOTILALOFS,Motilal Oswal Financial Services Limited,INE338I01027,NSE
MOTISONS,Motisons Jewellers Limited,INE0FRK01020,NSE
MOTOGENFIN,The Motor & General Finance Limited,INE861B01023,NSE
MPHASIS,MphasiS Limited,INE356A01018,NSE
MPSLimited,MPS Limited,INE943D01017,NSE
MRF,MRF Limited,INE883A01011,NSE
MRPL,Mangalore Refinery and Petrochemicals Limited,INE103A01014,NSE
MSPL,MSP Steel & Power Limited,INE752G01015,NSE
MSTCLimited,Mstc Limited,INE255X01014,NSE
MSUMI,Motherson Sumi Wiring India Limited,INE0FS801015,NSE
MTARTECH,Mtar Technologies Limited,INE864I01014,NSE
MTEDUCARE,MT Educare Limited,INE472M01018,NSE
MTNL,Mahanagar Telephone Nigam Limited,INE153A01019,NSE
MUFIN,Mufin Green Finance Limited,INE08KJ01020,NSE
MUFTI,Credo Brands Marketing Limited,INE220Q01020,NSE
MUKANDLimited,Mukand Limited,INE304A01026,NSE
MUKKA,Mukka Proteins Limited,INE0CG401037,NSE
MUKTAARTS,Mukta Arts Limited,INE374B01019,NSE
MUNJALAU,Munjal Auto Industries Limited,INE672B01032,NSE
MUNJALSHOW,Munjal Showa Limited,INE577A01027,NSE
MURUDCERA,Murudeshwar Ceramics Limited,INE692B01014,NSE
MUTHOOTCAP,Muthoot Capital Services Limited,INE296G01013,NSE
MUTHOOTFIN,Muthoot Finance Limited,INE414G01012,NSE
MUTHOOTMF,Muthoot Microfin Limited,INE046W01019,NSE
MVGJL,Manoj Vaibhav Gems N Jewellers Limited,INE0KNT01012,NSE
MWL,Mangalam Worldwide Limited,INE0JYY01011,NSE
NACLIND,NACL Industries Limited,INE295D01020,NSE
NAGAFERT,Nagarjuna Fertilizers and Chemicals Limited,INE454M01024,NSE
NAGREEKCAP,Nagreeka Capital & Infrastructure Limited,INE245I01016,NSE
NAGREEKEXP,Nagreeka Exports Limited,INE123B01028,NSE
NAHARCAP,Nahar Capital and Financial Services Limited,INE049I01012,NSE
NAHARINDUS,Nahar Industrial Enterprises Limited,INE289A01011,NSE
NAHARPOLY,Nahar Poly Films Limited,INE308A01027,NSE
NAHARSPING,Nahar Spinning Mills Limited,INE290A01027,NSE
NAM-INDIA,Nippon Life India Asset Management Limited,INE298J01013,NSE
NARMADA,Narmada Agrobase Limited,INE117Z01011,NSE
NATCAPSUQ,Natural Capsules Limited,INE936B01015,NSE
NATCOPHARM,Natco Pharma Limited,INE987B01026,NSE
NATHBIOGEN,Nath Bio-Genes (India) Limited,INE448G01010,NSE
NATIONALUM,National Aluminium Company Limited,INE139A01034,NSE
NAUKRI,Info Edge (India) Limited,INE663F01032,NSE
NAVA,NAVA LIMITED,INE725A01030,NSE
NAVINFLUOR,Navin Fluorine International Limited,INE048G01026,NSE
NAVKARCORP,Navkar Corporation Limited,INE278M01019,NSE
NAVKARURB,Navkar Urbanstructure Limited,INE268H01044,NSE
NAVNETEDUL,Navneet Education Limited,INE060A01024,NSE
NAZARA,Nazara Technologies Limited,INE418L01047,NSE
NBCC,NBCC (India) Limited,INE095N01031,NSE
NBIFIN,N. B. I. Industrial Finance Company Limited,INE365I01020,NSE
NCC,NCC Limited,INE868B01028,NSE
NCLIND,NCL Industries Limited,INE732C01016,NSE
NDGL,Naga Dhunseri Group Limited,INE756C01015,NSE
NDL,Nandan Denim Limited,INE875G01048,NSE
NDLVENTURE,NDL Ventures Limited,INE353A01023,NSE
NDRAUTO,Ndr Auto Components Limited,INE07OG01012,NSE
NDTV,New Delhi Television Limited,INE155G01029,NSE
NECCLimited,North Eastern Carrying Corporation Limited,INE553C01016,NSE
NECLIFE,Nectar Lifesciences Limited,INE023H01027,NSE
NELCAST,Nelcast Limited,INE189I01024,NSE
NELCO,NELCO Limited,INE045B01015,NSE
NEOGEN,Neogen Chemicals Limited,INE136S01016,NSE
NEPHROPLUS,Nephrocare Health Services Limited,INE428V01029,NSE
NESCO,Nesco Limited,INE317F01035,NSE
NESTLEIND,Nestle India Limited,INE239A01024,NSE
NETWEB,Netweb Technologies India Limited,INE0NT901020,NSE
NETWORK18,Network18 Media & Investments Limited,INE870H01013,NSE
NEULANDLAB,Neuland Laboratories Limited,INE794A01010,NSE
NEWGEN,Newgen Software Technologies Limited,INE619B01017,NSE
NEXTMEDIA,Next Mediaworks Limited,INE747B01016,NSE
NFL,National Fertilizers Limited,INE870D01012,NSE
NGIL,Nakoda Group of Industries Limited,INE236Y01012,NSE
NGLFINE,NGL Fine-Chem Limited,INE887E01022,NSE
NH,Narayana Hrudayalaya Limited.,INE410P01011,NSE
NHPC,NHPC Limited,INE848E01016,NSE
NIACL,The New India Assurance Company Limited,INE470Y01017,NSE
NIBE,NIBE Limited,INE149O01018,NSE
NIBL,NRB Industrial Bearings Limited,INE047O01014,NSE
NIITLimited,NIIT Limited,INE161A01038,NSE
NIITMTS,NIIT Learning Systems Limited,INE342G01023,NSE
NILAINFRA,Nila Infrastructures Limited,INE937C01029,NSE
NILASPACES,Nila Spaces Limited,INE00S901012,NSE
NILKAMAL,Nilkamal Limited,INE310A01015,NSE
NINSYS,NINtec Systems Limited,INE395U01014,NSE
NIPPOBATRY,Indo-National Limited,INE567A01028,NSE
NIRAJ,Niraj Cement Structurals Limited,INE368I01016,NSE
NIRAJISPAT,Niraj Ispat Industries Limited,INE326T01011,NSE
NITCO,Nitco Limited,INE858F01012,NSE
NITINSPIN,Nitin Spinners Limited,INE229H01012,NSE
NITIRAJ,Nitiraj Engineers Limited,INE439T01012,NSE
NIVABUPA,Niva Bupa Health Insurance Company Limited,INE995S01015,NSE
NKIND,NK Industries Limited,INE542C01019,NSE
NLCINDIA,NLC India Limited,INE589A01014,NSE
NMDC,NMDC Limited,INE584A01023,NSE
NOCIL,NOCIL Limited,INE163A01018,NSE
NOIDATOLL,Noida Toll Bridge Company Limited,INE781B01015,NSE
NORBTEAEXP,Norben Tea & Exports Limited,INE369C01017,NSE
NORTHARC,Northern Arc Capital Limited,INE850M01015,NSE
NOVAAGRI,Nova Agritech Limited,INE02H701025,NSE
NPST,Network People Services Technologies Limited,INE0FFK01017,NSE
NRAIL,N R Agarwal Industries Limited,INE740D01017,NSE
NRBBEARING,NRB Bearing Limited,INE349A01021,NSE
NRL,Nupur Recyclers Limited,INE0JM501013,NSE
NSIL,Nalwa Sons Investments Limited,INE023A01030,NSE
NSLNISP,NMDC Steel Limited,INE0NNS01018,NSE
NTPC,NTPC Limited,INE733E01010,NSE
NTPCGREEN,NTPC Green Energy Limited,INE0ONG01011,NSE
NUCLEUS,Nucleus Software Exports Limited,INE096B01018,NSE
NURECA,Nureca Limited,INE0DSF01015,NSE
NUVAMA,Nuvama Wealth Management Limited,INE531F01023,NSE
NUVOCO,Nuvoco Vistas Corporation Limited,INE118D01016,NSE
NYKAA,FSN E-Commerce Ventures Limited,INE388Y01029,NSE
OAL,Oriental Aromatics Limited,INE959C01023,NSE
OBCL,Orissa Bengal Carrier Limited,INE426Z01016,NSE
OBEROIRLTY,Oberoi Realty Limited,INE093I01010,NSE
OCCLLimited,OCCL Limited,INE0PK601023,NSE
ODIGMA,Odigma Consultancy Solutions Limited,INE054301028,NSE
OFSS,Oracle Financial Services Software Limited,INE881D01027,NSE
OIL,Oil India Limited,INE274J01014,NSE
OILCOUNTUB,Oil Country Tubular Limited,INE591A01010,NSE
OLAELEC,Ola Electric Mobility Limited,INE0LXG01040,NSE
OLECTRA,Olectra Greentech Limited,INE260D01016,NSE
OMAXAUTO,Omax Autos Limited,INE090B01011,NSE
OMAXE,Omaxe Limited,INE800H01010,NSE
OMFREIGHT,Om Freight Forwarders Limited,INE1BZC01019,NSE
OMINFRAL,OM INFRA LIMITED,INE239D01028,NSE
OMKARCHEM,Omkar Speciality Chemicals Limited,INE474L01016,NSE
ONELIFECAP,Onelife Capital Advisors Limited,INE912L01015,NSE
ONEPOINT,One Point One Solutions Limited,INE840Y01029,NSE
ONESOURCE,Onesource Specialty Pharma Limited,INE013P01021,NSE
ONGC,Oil & Natural Gas Corporation Limited,INE213A01029,NSE
ONMOBILE,OnMobile Global Limited,INE809I01019,NSE
ONWARDTEC,Onward Technologies Limited,INE229A01017,NSE
OPTIEMUS,Optiemus Infracom Limited,INE350C01017,NSE
ORBTEXP,Orbit Exports Limited,INE231G01010,NSE
ORCHASP,Orchasp Limited,INE215B01022,NSE
ORCHPHARMA,Orchid Pharma Limited,INE191A01027,NSE
ORICONENT,Oricon Enterprises Limited,INE730A01022,NSE
ORIENTALTL,Oriental Trimex Limited,INE998H01012,NSE
ORIENTBELL,Orient Bell Limited,INE607D01018,NSE
ORIENTCEM,Orient Cement Limited,INE876N01018,NSE
ORIENTCER,ORIENT CERATECH LIMITED,INE569C01020,NSE
ORIENTELEC,Orient Electric Limited,INE142Z01019,NSE
ORIENTHOT,Oriental Hotels Limited,INE750A01020,NSE
ORIENTLimited,Orient Press Limited,INE609C01024,NSE
ORIENTPPR,Orient Paper & Industries Limited,INE592A01026,NSE
ORIENTTECH,Orient Technologies Limited,INE0PPK01015,NSE
ORISSAMINE,The Orissa Minerals Development Company Limited,INE725E01024,NSE
ORKLAINDIA,Orkla India Limited,INE16NZ01023,NSE
ORTINGLOBE,ORTIN GLOBAL LIMITED,INE749B01020,NSE
OSIAHYPER,Osia Hyper Retail Limited,INE06IR01021,NSE
OSWALAGRO,Oswal Agro Mills Limited,INE142A01012,NSE
OSWALGREEN,Oswal Greentech Limited,INE143A01010,NSE
OSWALPUMPS,Oswal Pumps Limited,INE0BYP01024,NSE
OSWALSEEDS,ShreeOswal Seeds And Chemicals Limited,INE00IK01029,NSE
PACEDIGITK,Pace Digitek Limited,INE0S3G01027,NSE
PAGEIND,Page Industries Limited,INE761H01022,NSE
PAISALO,Paisalo Digital Limited,INE420C01059,NSE
PAKKA,PAKKA LIMITED,INE551D01018,NSE
PALASHSECU,Palash Securities Limited,INE471W01019,NSE
PALREDTEC,Palred Technologies Limited,INE218G01033,NSE
PANACEABIO,Panacea Biotec Limited,INE922B01023,NSE
PANACHE,Panache Digilife Limited,INE895W01019,NSE
PANAMAPET,Panama Petrochem Limited,INE305C01029,NSE
PANSARI,Pansari Developers Limited,INE697V01011,NSE
PAR,Par Drugs And Chemicals Limited,INE04LG01015,NSE
PARACABLES,Paramount Communications Limited,INE074B01023,NSE
PARADEEP,Paradeep Phosphates Limited,INE088F01024,NSE
PARAGMILK,Parag Milk Foods Limited,INE883N01014,NSE
PARAS,Paras Defence and Space Technologies Limited,INE045601023,NSE
PARASPETRO,Paras Petrofils Limited,INE162C01024,NSE
PARKHOSPS,Park Medi World Limited,INE119201023,NSE
PARKHOTELS,Apeejay Surrendra Park Hotels Limited,INE988S01028,NSE
PARSVNATH,Parsvnath Developers Limited,INE561H01026,NSE
PASHUPATI,Pashupati Cotspin Limited,INE124Y01010,NSE
PASUPTAC,Pasupati Acrylon Limited,INE818B01023,NSE
PATANJALI,Patanjali Foods Limited,INE619A01035,NSE
PATELENG,Patel Engineering Limited,INE244B01030,NSE
PATELRMART,Patel Retail Limited,INE0R8B01010,NSE
PATINTLOG,Patel Integrated Logistics Limited,INE529D01014,NSE
PAUSHAKLimited,Paushak Limited,INE111F01024,NSE
PAVNAIND,Pavna Industries Limited,INE07S101038,NSE
PAYTM,One 97 Communications Limited,INE982J01020,NSE
PCBL,PCBL Chemical Limited,INE602A01031,NSE
PCJEWELLER,PC Jeweller Limited,INE785M01021,NSE
PDMJEPAPER,Pudumjee Paper Products Limited,INE865T01018,NSE
PDSL,PDS Limited,INE111Q01021,NSE
PEARLPOLY,Pearl Polymers Limited,INE844A01013,NSE
PENIND,Pennar Industries Limited,INE932A01024,NSE
PENINLAND,Peninsula Land Limited,INE138A01028,NSE
PERSISTENT,Persistent Systems Limited,INE262H01021,NSE
PETRONET,Petronet LNG Limited,INE347G01014,NSE
PFC,Power Finance Corporation Limited,INE134E01011,NSE
PFIZER,Pfizer Limited,INE182A01018,NSE
PFOCUS,Prime Focus Limited,INE367G01038,NSE
PFS,PTC India Financial Services Limited,INE560K01014,NSE
PGEL,PG Electroplast Limited,INE457L01029,NSE
PGHH,Procter & Gamble Hygiene and Health Care Limited,INE179A01014,NSE
PGHL,Procter & Gamble Health Limited,INE199A01012,NSE
PGIL,Pearl Global Industries Limited,INE940H01022,NSE
PHOENIXLimited,The Phoenix Mills Limited,INE211B01039,NSE
PICCADIL,Piccadily Agro Industries Limited,INE546C01010,NSE
PIDILITIND,Pidilite Industries Limited,INE318A01026,NSE
PIGL,Power & Instrumentation (Gujarat) Limited,INE557Z01018,NSE
PIIND,PI Industries Limited,INE603J01030,NSE
PILANIINVS,Pilani Investment and Industries Corporation Limited,INE417C01014,NSE
PILITA,PIL ITALICA LIFESTYLE LIMITED,INE600A01035,NSE
PINELABS,Pine Labs Limited,INE15B701018,NSE
PIONEEREMB,Pioneer Embroideries Limited,INE156C01018,NSE
PIRAMALFIN,Piramal Finance Limited,INE202B01038,NSE
PITTIENG,Pitti Engineering Limited,INE450D01021,NSE
PIXTRANS,Pix Transmissions Limited,INE751B01018,NSE
PKTEA,The Peria Karamalai Tea & Produce Company Limited,INE431F01018,NSE
PLASTIBLEN,Plastiblends India Limited,INE083C01022,NSE
PLATIND,Platinum Industries Limited,INE0PT501018,NSE
PLAZACABLE,Plaza Wires Limited,INE0INJ01017,NSE
PNB,Punjab National Bank,INE160A01022,NSE
PNBGILTS,PNB Gilts Limited,INE859A01011,NSE
PNBHOUSING,PNB Housing Finance Limited,INE572E01012,NSE
PNC,Pritish Nandy Communications Limited,INE392B01011,NSE
PNCINFRA,PNC Infratech Limited,INE195J01029,NSE
PNGJL,P N Gadgil Jewellers Limited,INE953R01016,NSE
POCL,Pondy Oxides & Chemicals Limited,INE063E01053,NSE
PODDARMENT,Poddar Pigments Limited,INE371C01013,NSE
POKARNA,Pokarna Limited,INE637C01025,NSE
POLICYBZR,PB Fintech Limited,INE417T01026,NSE
POLYCAB,Polycab India Limited,INE455K01017,NSE
POLYMED,Poly Medicure Limited,INE205C01021,NSE
POLYPLEX,Polyplex Corporation Limited,INE633B01018,NSE
PONNIERODE,Ponni Sugars (Erode) Limited,INE838E01017,NSE
POONAWALLA,Poonawalla Fincorp Limited,INE511C01022,NSE
POWERGRID,Power Grid Corporation of India Limited,INE752E01010,NSE
POWERINDIA,Hitachi Energy India Limited,INE07Y701011,NSE
POWERMECH,Power Mech Projects Limited,INE211R01019,NSE
PPAP,PPAP Automotive Limited,INE095I01015,NSE
PPL,Prakash Pipes Limited,INE050001010,NSE
PPLPHARMA,Piramal Pharma Limited,INE0DK501011,NSE
PRABHA,Prabha Energy Limited,INE0I0M01023,NSE
PRAENG,Prajay Engineers Syndicate Limited,INE505C01016,NSE
PRAJIND,Praj Industries Limited,INE074A01025,NSE
PRAKASH,Prakash Industries Limited,INE603A01013,NSE
PRAKASHSTL,Prakash Steelage Limited,INE696K01024,NSE
PRAXIS,Praxis Home Retail Limited,INE546Y01022,NSE
PRECAM,Precision Camshafts Limited,INE484I01029,NSE
PRECOT,Precot Limited,INE283A01014,NSE
PRECWIRE,Precision Wires India Limited,INE372C01037,NSE
PREMEXPLN,Premier Explosives Limited,INE863B01029,NSE
PREMIER,Premier Limited,INE342A01018,NSE
PREMIERENE,Premier Energies Limited,INE0BS701011,NSE
PREMIERPOL,Premier Polyfilm Limited,INE309M01020,NSE
PRESTIGE,Prestige Estates Projects Limited,INE811K01011,NSE
PRICOLLimited,Pricol Limited,INE726V01018,NSE
PRIMESECU,Prime Securities Limited,INE032B01021,NSE
PRIMO,Primo Chemicals Limited,INE607A01022,NSE
PRINCEPIPE,Prince Pipes And Fittings Limited,INE689W01016,NSE
PRITI,Priti International Limited,INE974Z01015,NSE
PRITIKAUTO,Pritika Auto Industries Limited,INE583R01029,NSE
PRIVISCL,Privi Speciality Chemicals Limited,INE959A01019,NSE
PROSTARM,Prostarm Info Systems Limited,INE0BX301013,NSE
PROTEAN,Protean eGov Technologies Limited,INE004A01022,NSE
PROZONER,Prozone Realty Limited,INE195N01013,NSE
PRSMJOHNSN,Prism Johnson Limited,INE010A01011,NSE
PRUDENT,Prudent Corporate Advisory Services Limited,INE00F201020,NSE
PRUDMOULI,Prudential Sugar Corporation Limited,INE024D01016,NSE
PSB,Punjab & Sind Bank,INE608A01012,NSE
PSPPROJECT,PSP Projects Limited,INE488V01015,NSE
PTC,PTC India Limited,INE877F01012,NSE
PTCIL,PTC Industries Limited,INE596F01018,NSE
PTL,PTL Enterprises Limited,INE034D01049,NSE
PUNJABCHEM,Punjab Chemicals & Crop Protection Limited,INE277B01014,NSE
PURVA,Puravankara Limited,INE323I01011,NSE
PVP,PVP Ventures Limited,INE362A01016,NSE
PVRINOX,PVR INOX Limited,INE191H01014,NSE
PVSL,Popular Vehicles and Services Limited,INE772T01024,NSE
PWL,Physicswallah Limited,INE0LP301011,NSE
PYRAMID,Pyramid Technoplast Limited,INE0MIS01010,NSE
QPOWER,Quality Power Electrical Equipments Limited,INE0SII01026,NSE
QUADFUTURE,Quadrant Future Tek Limited,INE0LRY01011,NSE
QUESS,Quess Corp Limited,INE615P01015,NSE
QUICKHEAL,Quick Heal Technologies Limited,INE306L01010,NSE
RACE,Race Eco Chain Limited,INE084Q01012,NSE
RACLGEAR,RACL Geartech Limited,INE704B01017,NSE
RADAAN,Radaan Mediaworks India Limited,INE874F01027,NSE
RADHIKAJWE,Radhika Jeweltech Limited,INE583V01021,NSE
RADIANTCMS,Radiant Cash Management Services Limited,INE855R01021,NSE
RADICO,Radico Khaitan Limited,INE944F01028,NSE
RADIOCITY,Music Broadcast Limited,INE919I01024,NSE
RAILTEL,Railtel Corporation Of India Limited,INE0DD101019,NSE
RAIN,Rain Industries Limited,INE855B01025,NSE
RAINBOW,Rainbow Childrens Medicare Limited,INE961O01016,NSE
RAJESHEXPO,Rajesh Exports Limited,INE343B01030,NSE
RAJMET,Rajnandini Metal Limited,INE00KV01022,NSE
RAJOOENG,Rajoo Engineers Limited,INE535F01024,NSE
RAJRATAN,Rajratan Global Wire Limited,INE451D01029,NSE
RAJRILimited,Raj Rayon Industries Limited,INE533D01032,NSE
RAJSREESUG,Rajshree Sugars & Chemicals Limited,INE562B01019,NSE
RAJTV,Raj Television Network Limited,INE952H01027,NSE
RALLIS,Rallis India Limited,INE613A01020,NSE
RAMANEWS,Shree Rama Newsprint Limited,INE278B01020,NSE
RAMAPHO,Rama Phosphates Limited,INE809A01032,NSE
RAMASTEEL,Rama Steel Tubes Limited,INE230R01035,NSE
RAMCOCEM,The Ramco Cements Limited,INE331A01037,NSE
RAMCOIND,Ramco Industries Limited,INE614A01028,NSE
RAMCOSYS,Ramco Systems Limited,INE246B01019,NSE
RAMKY,Ramky Infrastructure Limited,INE874I01013,NSE
RAMRAT,Ram Ratna Wires Limited,INE207E01023,NSE
RANASUG,Rana Sugars Limited,INE625B01014,NSE
RANEHOLDIN,Rane Holdings Limited,INE384A01010,NSE
RATEGAIN,Rategain Travel Technologies Limited,INE0CLI01024,NSE
RATNAMANI,Ratnamani Metals & Tubes Limited,INE703B01027,NSE
RATNAVEER,Ratnaveer Precision Engineering Limited,INE05CZ01011,NSE
RAYMOND,Raymond Limited,INE301A01014,NSE
RAYMONDLSL,Raymond Lifestyle Limited,INE02ID01020,NSE
RAYMONDREL,Raymond Realty Limited,INE1SY401010,NSE
RBA,Restaurant Brands Asia Limited,INE07T201019,NSE
RBLBANK,RBL Bank Limited,INE976G01028,NSE
RBZJEWEL,RBZ Jewellers Limited,INE0PEQ01016,NSE
RCF,Rashtriya Chemicals and Fertilizers Limited,INE027A01015,NSE
RCOM,Reliance Communications Limited,INE330H01018,NSE
RECLimited,REC Limited,INE020B01018,NSE
REDINGTON,Redington Limited,INE891D01026,NSE
REDTAPE,Redtape Limited,INE0LXT01019,NSE
REFEX,Refex Industries Limited,INE056I01025,NSE
REGAAL,Regaal Resources Limited,INE0MHO01029,NSE
REGENCERAM,Regency Ceramics Limited,INE277C01012,NSE
RELAXO,Relaxo Footwears Limited,INE131B01039,NSE
RELCHEMQ,Reliance Chemotex Industries Limited,INE750D01016,NSE
RELIABLE,Reliable Data Services Limited,INE375Y01018,NSE
RELIANCE,Reliance Industries Limited,INE002A01018,NSE
RELIGARE,Religare Enterprises Limited,INE621H01010,NSE
RELimited,Ravindra Energy Limited,INE206N01018,NSE
REMSONSIND,Remsons Industries Limited,INE474C01023,NSE
RENUKA,Shree Renuka Sugars Limited,INE087H01022,NSE
REPCOHOME,Repco Home Finance Limited,INE612J01015,NSE
REPL,Rudrabhishek Enterprises Limited,INE364Z01019,NSE
REPRO,Repro India Limited,INE461B01014,NSE
RESPONIND,Responsive Industries Limited,INE688D01026,NSE
RETAIL,JHS Svendgaard Retail Ventures Limited,INE03DD01011,NSE
RGL,Renaissance Global Limited,INE722H01024,NSE
RHETAN,Rhetan TMT Limited,INE0KKN01029,NSE
RHFL,Reliance Home Finance Limited,INE217K01011,NSE
RHIM,RHI MAGNESITA INDIA LIMITED,INE743M01012,NSE
RHL,Robust Hotels Limited,INE508K01013,NSE
RICOAUTO,Rico Auto Industries Limited,INE209B01025,NSE
RIIL,Reliance Industrial Infrastructure Limited,INE046A01015,NSE
RISHABH,Rishabh Instruments Limited,INE0N2P01017,NSE
RITCO,Ritco Logistics Limited,INE01EG01016,NSE
RITES,RITES Limited,INE320J01015,NSE
RKDL,Ravi Kumar Distilleries Limited,INE722J01012,NSE
RKEC,RKEC Projects Limited,INE786W01010,NSE
RKFORGE,Ramkrishna Forgings Limited,INE399G01023,NSE
RKSWAMY,R K Swamy Limited,INE0NQ801033,NSE
RMDRIP,R M Drip and Sprinklers Systems Limited,INE219Y01026,NSE
RML,Rane (Madras) Limited,INE050H01012,NSE
RNBDENIMS,R&B Denims Limited,INE012Q01021,NSE
ROHLimited,Royal Orchid Hotels Limited,INE283H01019,NSE
ROLEXRINGS,Rolex Rings Limited,INE645S01024,NSE
ROLLT,Rollatainers Limited,INE927A01040,NSE
ROML,Raj Oil Mills Limited,INE294G01026,NSE
ROSSARI,Rossari Biotech Limited,INE02A801020,NSE
ROSSELLIND,Rossell India Limited,INE847C01020,NSE
ROSSTECH,Rossell Techsys Limited,INE0OJW01016,NSE
ROTO,Roto Pumps Limited,INE535D01037,NSE
ROUTE,ROUTE MOBILE LIMITED,INE450U01017,NSE
RPEL,Raghav Productivity Enhancers Limited,INE912T01018,NSE
RPGLIFE,RPG Life Sciences Limited,INE105J01010,NSE
RPOWER,Reliance Power Limited,INE614G01033,NSE
RPPINFRA,R.P.P. Infra Projects Limited,INE324L01013,NSE
RPPL,Rajshree Polypack Limited,INE760W01023,NSE
RPSGVENT,RPSG VENTURES LIMITED,INE425Y01011,NSE
RPTECH,Rashi Peripherals Limited,INE0J1F01024,NSE
RRKABEL,R R Kabel Limited,INE777K01022,NSE
RSSOFTWARE,R. S. Software (India) Limited,INE165B01029,NSE
RSWM,RSWM Limited,INE611A01016,NSE
RSYSTEMS,R Systems International Limited,INE411H01032,NSE
RTNINDIA,RattanIndia Enterprises Limited,INE834M01019,NSE
RTNPOWER,RattanIndia Power Limited,INE399K01017,NSE
RUBFILA,Rubfila International Limited,INE642C01025,NSE
RUBICON,Rubicon Research Limited,INE506V01022,NSE
RUBYMILLS,The Ruby Mills Limited,INE301D01026,NSE
RUCHINFRA,Ruchi Infrastructure Limited,INE413B01023,NSE
RUCHIRA,Ruchira Papers Limited,INE803H01014,NSE
RUDRA,Rudra Global Infra Products Limited,INE027T01023,NSE
RUPA,Rupa & Company Limited,INE895B01021,NSE
RUSHIL,Rushil Decor Limited,INE573K01025,NSE
RUSTOMJEE,Keystone Realtors Limited,INE263M01029,NSE
RVHL,Ravinder Heights Limited,INE09E501017,NSE
RVNL,Rail Vikas Nigam Limited,INE415G01027,NSE
RVTH,Revathi Equipment India Limited,INE0DAB01012,NSE
S&SPOWER,S&S Power Switchgears Limited,INE902B01017,NSE
SAATVIKGL,Saatvik Green Energy Limited,INE13B501022,NSE
SABEVENTS,Sab Events & Governance Now Media Limited,INE860T01019,NSE
SABTNL,Sri Adhikari Brothers Television Network Limited,INE416A01044,NSE
SADBHAV,Sadbhav Engineering Limited,INE226H01026,NSE
SADBHIN,Sadbhav Infrastructure Project Limited,INE764L01010,NSE
SADHNANIQ,Sadhana Nitrochem Limited,INE888C01040,NSE
SAFARI,Safari Industries (India) Limited,INE429E01023,NSE
SAGARDEEP,Sagardeep Alloys Limited,INE976T01013,NSE
SAGCEM,Sagar Cements Limited,INE229C01021,NSE
SAGILITY,SAGILITY LIMITED,INE0W2G01015,NSE
SAHYADRI,Sahyadri Industries Limited,INE280H01015,NSE
SAIL,Steel Authority of India Limited,INE114A01011,NSE
SAILIFE,Sai Life Sciences Limited,INE570L01029,NSE
SAKAR,Sakar Healthcare Limited,INE732S01012,NSE
SAKHTISUG,Sakthi Sugars Limited,INE623A01011,NSE
SAKSOFT,Saksoft Limited,INE667G01023,NSE
SAKUMA,Sakuma Exports Limited,INE190H01024,NSE
SALASAR,Salasar Techno Engineering Limited,INE170V01027,NSE
SALONA,Salona Cotspin Limited,INE498E01010,NSE
SALSTEEL,S.A.L. Steel Limited,INE658G01014,NSE
SALZERELEC,Salzer Electronics Limited,INE457F01013,NSE
SAMBHAAV,Sambhaav Media Limited,INE699B01027,NSE
SAMBHV,Sambhv Steel Tubes Limited,INE12NJ01018,NSE
SAMHI,Samhi Hotels Limited,INE08U801020,NSE
SAMMAANCAP,Sammaan Capital Limited,INE148I01020,NSE
SAMPANN,Sampann Utpadan India Limited,INE735M01018,NSE
SANATHAN,Sanathan Textiles Limited,INE0JPD01013,NSE
SANCO,Sanco Industries Limited,INE782L01012,NSE
SANDESH,The Sandesh Limited,INE583B01015,NSE
SANDHAR,Sandhar Technologies Limited,INE278H01035,NSE
