SYMBOL,NAME OF COMPANY, ISIN NUMBER,Exchange
ALKALI,Alkali Metals Limited,INE773I01017,NSE
ALKEM,Alkem Laboratories Limited,INE540L01014,NSE
ALKYLAMINE,Alkyl Amines Chemicals Limited,INE150B01039,NSE
ALLCARGO,Allcargo Logistics Limited,INE418H01029,NSE
ALLDIGI,Alldigi Tech Limited,INE835G01018,NSE
ALLTIME,All Time Plastics Limited,INE0GV601021,NSE
ALMONDZ,Almondz Global Securities Limited,INE326B01035,NSE
ALOKINDS,Alok Industries Limited,INE270A01029,NSE
ALPA,Alpa Laboratories Limited,INE385I01010,NSE
ALPHAGEO,Alphageo (India) Limited,INE137C01018,NSE
AMANTA,Amanta Healthcare Limited,INE084K01015,NSE
AMBER,Amber Enterprises India Limited,INE371P01015,NSE
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,INE792B01012,NSE
AMBIKCO,Ambika Cotton Mills Limited,INE540G01014,NSE
AMBUJACEM,Ambuja Cements Limited,INE079A01024,NSE
AMDIND,AMD Industries Limited,INE005I01014,NSE
AMJLAND,Amj Land Holdings Limited,INE606A01024,NSE
AMNPLST,Amines & Plasticizers Limited,INE275D01022,NSE
AMRUTANJAN,Amrutanjan Health Care Limited,INE098F01031,NSE
ANANDRATHI,Anand Rathi Wealth Limited,INE463V01026,NSE
ANANTRAJ,Anant Raj Limited,INE242C01024,NSE
ANDHRAPAP,ANDHRA PAPER LIMITED,INE435A01051,NSE
ANDHRSUGAR,The Andhra Sugars Limited,INE715B01021,NSE
ANGELONE,Angel One Limited,INE732I01013,NSE
ANIKINDS,Anik Industries Limited,INE087B01017,NSE
ANKITMETAL,Ankit Metal & Power Limited,INE106I01010,NSE
ANMOL,Anmol India Limited,INE02AR01019,NSE
ANSALAPI,Ansal Properties & Infrastructure Limited,INE436A01026,NSE
ANTELOPUS,Antelopus Selan Energy Limited,INE818A01017,NSE
ANTGRAPHIC,Antarctica Limited,INE414B01021,NSE
ANTHEM,Anthem Biosciences Limited,INE0CZ201020,NSE
ANUHPHR,Anuh Pharma Limited,INE489G01022,NSE
ANUP,The Anup Engineering Limited,INE294Z01018,NSE
ANURAS,Anupam Rasayan India Limited,INE930P01018,NSE
APARINDS,Apar Industries Limited,INE372A01015,NSE
APCL,Anjani Portland Cement Limited,INE071F01012,NSE
APCOTEXIND,Apcotex Industries Limited,INE116A01032,NSE
APEX,Apex Frozen Foods Limited,INE346W01013,NSE
APLAPOLLO,APL Apollo Tubes Limited,INE702C01027,NSE
APLLimited,Alembic Pharmaceuticals Limited,INE901L01018,NSE
APOLLO,Apollo Micro Systems Limited,INE713T01028,NSE
APOLLOHOSP,Apollo Hospitals Enterprise Limited,INE437A01024,NSE
APOLLOPIPE,Apollo Pipes Limited,INE126J01016,NSE
APOLLOTYRE,Apollo Tyres Limited,INE438A01022,NSE
APOLSINHOT,Apollo Sindoori Hotels Limited,INE451F01024,NSE
APTECHT,Aptech Limited,INE266F01018,NSE
APTUS,Aptus Value Housing Finance India Limited,INE852O01025,NSE
ARCHIDPLY,Archidply Industries Limited,INE877I01016,NSE
ARCHIES,Archies Limited,INE731A01020,NSE
ARE&M,Amara Raja Energy & Mobility Limited,INE885A01032,NSE
ARENTERP,Rajdarshan Industries Limited,INE610C01014,NSE
ARFIN,Arfin India Limited,INE784R01023,NSE
ARIES,Aries Agro Limited,INE298I01015,NSE
ARIHANTCAP,Arihant Capital Markets Limited,INE420B01036,NSE
ARIHANTSUP,Arihant Superstructures Limited,INE643K01018,NSE
ARISINFRA,Arisinfra Solutions Limited,INE0H9P01028,NSE
ARKADE,Arkade Developers Limited,INE0QRL01017,NSE
ARMANFIN,Arman Financial Services Limited,INE109C01017,NSE
AROGRANITE,Aro Granite Industries Limited,INE210C01013,NSE
ARROWGREEN,Arrow Greentech Limited,INE570D01018,NSE
ARSHIYA,Arshiya Limited,INE968D01022,NSE
ARSSBL,Anand Rathi Share and Stock Brokers Limited,INE549H01021,NSE
ARTEMISMED,Artemis Medicare Services Limited,INE025R01021,NSE
ARTNIRMAN,Art Nirman Limited,INE738V01013,NSE
ARVEE,Arvee Laboratories (India) Limited,INE006Z01016,NSE
ARVIND,Arvind Limited,INE034A01011,NSE
ARVINDFASN,Arvind Fashions Limited,INE955V01021,NSE
ARVSMART,Arvind SmartSpaces Limited,INE034S01021,NSE
ASAHIINDIA,Asahi India Glass Limited,INE439A01020,NSE
ASAHISONG,Asahi Songwon Colors Limited,INE228I01012,NSE
ASAL,Automotive Stampings and Assemblies Limited,INE900C01027,NSE
ASALCBR,Associated Alcohols & Breweries Limited.,INE073G01016,NSE
ASHAPURMIN,Ashapura Minechem Limited,INE348A01023,NSE
ASHIANA,Ashiana Housing Limited,INE365D01021,NSE
ASHIMASYN,Ashima Limited,INE440A01010,NSE
ASHOKA,Ashoka Buildcon Limited,INE442H01029,NSE
ASHOKAMET,Ashoka Metcast Limited,INE760Y01011,NSE
ASHOKLEY,Ashok Leyland Limited,INE208A01029,NSE
ASIANENE,Asian Energy Services Limited,INE276G01015,NSE
ASIANHOTNR,Asian Hotels (North) Limited,INE363A01022,NSE
ASIANPAINT,Asian Paints Limited,INE021A01026,NSE
ASIANTILES,Asian Granito India Limited,INE022I01019,NSE
ASKAUTOLimited,ASK Automotive Limited,INE491J01022,NSE
ASMS,Bartronics India Limited,INE855F01042,NSE
ASPINWALL,Aspinwall and Company Limited,INE991I01015,NSE
ASTEC,Astec LifeSciences Limited,INE563J01010,NSE
ASTERDM,Aster DM Healthcare Limited,INE914M01019,NSE
ASTRAL,Astral Limited,INE006I01046,NSE
ASTRAMICRO,Astra Microwave Products Limited,INE386C01029,NSE
ASTRAZEN,AstraZeneca Pharma India Limited,INE203A01020,NSE
ASTRON,Astron Paper & Board Mill Limited,INE646X01014,NSE
ATALREAL,Atal Realtech Limited,INE0ALR01029,NSE
ATAM,Atam Valves Limited,INE09KD01013,NSE
ATGL,Adani Total Gas Limited,INE399L01023,NSE
ATHERENERG,Ather Energy Limited,INE0LEZ01016,NSE
ATL,Allcargo Terminals Limited,INE0NN701020,NSE
ATLANTAA,ATLANTAA LIMITED,INE285H01022,NSE
ATLANTAELE,Atlanta Electricals Limited,INE0Z4F01028,NSE
ATLASCYCLE,Atlas Cycles (Haryana) Limited,INE446A01025,NSE
ATUL,Atul Limited,INE100A01010,NSE
ATULAUTO,Atul Auto Limited,INE951D01028,NSE
AUBANK,AU Small Finance Bank Limited,INE949L01017,NSE
AURIGROW,Auri Grow India Limited,INE925Y01036,NSE
AURIONPRO,Aurionpro Solutions Limited,INE132H01018,NSE
AUROPHARMA,Aurobindo Pharma Limited,INE406A01037,NSE
AURUM,Aurum PropTech Limited,INE898S01029,NSE
AUSOMENT,Ausom Enterprise Limited,INE218C01016,NSE
AUTOAXLES,Automotive Axles Limited,INE449A01011,NSE
AUTOIND,Autoline Industries Limited,INE718H01014,NSE
AVADHSUGAR,Avadh Sugar & Energy Limited,INE349W01017,NSE
AVALON,Avalon Technologies Limited,INE0LCL01028,NSE
AVANTEL,Avantel Limited,INE005B01027,NSE
AVANTIFEED,Avanti Feeds Limited,INE871C01038,NSE
AVG,AVG Logistics Limited,INE680Z01018,NSE
AVL,Aditya Vision Limited,INE679V01027,NSE
AVONMORE,Avonmore Capital & Management Services Limited,INE323B01024,NSE
AVROIND,AVRO INDIA LIMITED,INE652Z01017,NSE
AVTNPL,AVT Natural Products Limited,INE488D01021,NSE
AWFIS,Awfis Space Solutions Limited,INE108V01019,NSE
AWHCL,Antony Waste Handling Cell Limited,INE01BK01022,NSE
AWL,AWL Agri Business Limited,INE699H01024,NSE
AXISBANK,Axis Bank Limited,INE238A01034,NSE
AXISCADES,AXISCADES Technologies Limited,INE555B01013,NSE
AXITA,Axita Cotton Limited,INE02EZ01022,NSE
AYMSYNTEX,AYM Syntex Limited,INE193B01039,NSE
AZAD,Azad Engineering Limited,INE02IJ01035,NSE
BAFNAPH,Bafna Pharmaceuticals Limited,INE878I01022,NSE
BAGFILMS,B.A.G Films and Media Limited,INE116D01028,NSE
BAIDFIN,Baid Finserv Limited,INE020D01022,NSE
BAJAJ-AUTO,Bajaj Auto Limited,INE917I01010,NSE
BAJAJCON,Bajaj Consumer Care Limited,INE933K01021,NSE
BAJAJELEC,Bajaj Electricals Limited,INE193E01025,NSE
BAJAJFINSV,Bajaj Finserv Limited,INE918I01026,NSE
BAJAJHCARE,Bajaj Healthcare Limited,INE411U01027,NSE
BAJAJHFL,Bajaj Housing Finance Limited,INE377Y01014,NSE
BAJAJHIND,Bajaj Hindusthan Sugar Limited,INE306A01021,NSE
BAJAJHLDNG,Bajaj Holdings & Investment Limited,INE118A01012,NSE
BAJAJINDEF,Indef Manufacturing Limited,INE0O9T01021,NSE
BAJEL,Bajel Projects Limited,INE0KQN01018,NSE
BAJFINANCE,Bajaj Finance Limited,INE296A01032,NSE
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,INE0S2G01011,NSE
BALAJITELE,Balaji Telefilms Limited,INE794B01026,NSE
BALAMINES,Balaji Amines Limited,INE050E01027,NSE
BALAXI,BALAXI PHARMACEUTICALS LIMITED,INE618N01022,NSE
BALKRISHNA,Balkrishna Paper Mills Limited,INE875R01011,NSE
BALKRISIND,Balkrishna Industries Limited,INE787D01026,NSE
BALMLAWRIE,Balmer Lawrie & Company Limited,INE164A01016,NSE
BALPHARMA,Bal Pharma Limited,INE083D01012,NSE
BALRAMCHIN,Balrampur Chini Mills Limited,INE119A01028,NSE
BALUFORGE,Balu Forge Industries Limited,INE011E01029,NSE
BANARBEADS,Banaras Beads Limited,INE655B01011,NSE
BANARISUG,Bannari Amman Sugars Limited,INE459A01010,NSE
BANCOINDIA,Banco Products (I) Limited,INE213C01025,NSE
BANDHANBNK,Bandhan Bank Limited,INE545U01014,NSE
BANG,Bang Overseas Limited,INE863I01016,NSE
BANKA,Banka BioLoo Limited,INE862Y01015,NSE
BANKBARODA,Bank of Baroda,INE028A01039,NSE
BANKINDIA,Bank of India,INE084A01016,NSE
BANSALWIRE,Bansal Wire Industries Limited,INE0B9K01025,NSE
BANSWRAS,Banswara Syntex Limited,INE629D01020,NSE
BASF,BASF India Limited,INE373A01013,NSE
BASML,Bannari Amman Spinning Mills Limited,INE186H01022,NSE
BATAINDIA,Bata India Limited,INE176A01028,NSE
BAYERCROP,Bayer Cropscience Limited,INE462A01022,NSE
BBL,Bharat Bijlee Limited,INE464A01036,NSE
BBOX,Black Box Limited,INE676A01027,NSE
BBTC,The Bombay Burmah Trading Corporation Limited,INE050A01025,NSE
BBTCL,B&B Triplewall Containers Limited,INE01EE01011,NSE
BCG,Brightcom Group Limited,INE425B01027,NSE
BCLIND,Bcl Industries Limited,INE412G01024,NSE
BCONCEPTS,Brand Concepts Limited,INE977Y01011,NSE
BDL,Bharat Dynamics Limited,INE171Z01026,NSE
BEARDSELL,Beardsell Limited,INE520H01022,NSE
BECTORFOOD,Mrs. Bectors Food Specialities Limited,INE495P01020,NSE
BEDMUTHA,Bedmutha Industries Limited,INE844K01012,NSE
BEL,Bharat Electronics Limited,INE263A01024,NSE
BELLACASA,Bella Casa Fashion & Retail Limited,INE344T01014,NSE
BELRISE,Belrise Industries Limited,INE894V01022,NSE
BEML,BEML Limited,INE258A01024,NSE
BEPL,Bhansali Engineering Polymers Limited,INE922A01025,NSE
BERGEPAINT,Berger Paints (I) Limited,INE463A01038,NSE
BESTAGRO,Best Agrolife Limited,INE052T01021,NSE
BETA,Beta Drugs Limited,INE351Y01019,NSE
BFINVEST,BF Investment Limited,INE878K01010,NSE
BFUTILITIE,BF Utilities Limited,INE243D01012,NSE
BGRENERGY,BGR Energy Systems Limited,INE661I01014,NSE
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,INE414D01027,NSE
BHAGERIA,Bhageria Industries Limited,INE354C01027,NSE
BHAGYANGR,Bhagyanagar India Limited,INE458B01036,NSE
BHANDARI,Bhandari Hosiery Exports Limited,INE474E01029,NSE
BHARATFORG,Bharat Forge Limited,INE465A01025,NSE
BHARATGEAR,Bharat Gears Limited,INE561C01019,NSE
BHARATRAS,Bharat Rasayan Limited,INE838B01021,NSE
BHARATSE,Bharat Seats Limited,INE415D01024,NSE
BHARATWIRE,Bharat Wire Ropes Limited,INE316L01019,NSE
BHARTIARTL,Bharti Airtel Limited,INE397D01024,NSE
BHARTIHEXA,Bharti Hexacom Limited,INE343G01021,NSE
BHEL,Bharat Heavy Electricals Limited,INE257A01026,NSE
BIGBLOC,Bigbloc Construction Limited,INE412U01025,NSE
BIKAJI,Bikaji Foods International Limited,INE00E101023,NSE
BIL,Bhartiya International Limited,INE828A01016,NSE
BILVYAPAR,BIL VYAPAR LIMITED,INE071A01013,NSE
BIOCON,Biocon Limited,INE376G01013,NSE
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,INE829A01014,NSE
BIRLACABLE,Birla Cable Limited,INE800A01015,NSE
BIRLACORPN,Birla Corporation Limited,INE340A01012,NSE
BIRLAMONEY,Aditya Birla Money Limited,INE865C01022,NSE
BIRLANU,BirlaNu Limited,INE557A01011,NSE
BLACKBUCK,BLACKBUCK LIMITED,INE0UIZ01018,NSE
BLAL,BEML Land Assets Limited,INE0N7W01012,NSE
BLBLIMITED,BLB Limited,INE791A01024,NSE
BLISSGVS,Bliss GVS Pharma Limited,INE416D01022,NSE
BLKASHYAP,B. L. Kashyap and Sons Limited,INE350H01032,NSE
BLS,BLS International Services Limited,INE153T01027,NSE
BLSE,BLS E-Services Limited,INE0NLT01010,NSE
BLUECHIP,Blue Chip India Limited,INE657B01025,NSE
BLUECOAST,Blue Coast Hotels Limited,INE472B01011,NSE
BLUEDART,Blue Dart Express Limited,INE233B01017,NSE
BLUEJET,Blue Jet Healthcare Limited,INE0KBH01020,NSE
BLUESTARCO,Blue Star Limited,INE472A01039,NSE
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,INE304W01038,NSE
BLUSPRING,Bluspring Enterprises Limited,INE0U4101014,NSE
BMWVENTLimited,BMW Ventures Limited,INE965W01036,NSE
BODALCHEM,Bodal Chemicals Limited,INE338D01028,NSE
BOHRAIND,Bohra Industries Limited,INE802W01023,NSE
BOMDYEING,Bombay Dyeing & Mfg Company Limited,INE032A01023,NSE
BORANA,Borana Weaves Limited,INE16SF01016,NSE
BOROLimited,Borosil Limited,INE02PY01013,NSE
BORORENEW,BOROSIL RENEWABLES LIMITED,INE666D01022,NSE
BOROSCI,Borosil Scientific Limited,INE02L001032,NSE
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,INE782A01015,NSE
BOSCHLimited,Bosch Limited,INE323A01026,NSE
BPCL,Bharat Petroleum Corporation Limited,INE029A01011,NSE
BPL,BPL Limited,INE110A01019,NSE
BRIGADE,Brigade Enterprises Limited,INE791I01019,NSE
BRIGHOTEL,Brigade Hotel Ventures Limited,INE03NU01014,NSE
BRITANNIA,Britannia Industries Limited,INE216A01030,NSE
BRNL,Bharat Road Network Limited,INE727S01012,NSE
BROOKS,Brooks Laboratories Limited,INE650L01011,NSE
BSE,BSE Limited,INE118H01025,NSE
BSHSL,Bombay Super Hybrid Seeds Limited,INE032Z01020,NSE
BSL,BSL Limited,INE594B01012,NSE
BSOFT,BIRLASOFT LIMITED,INE836A01035,NSE
BTML,Bodhi Tree Multimedia Limited,INE0EEJ01023,NSE
BUILDPRO,Shankara Buildpro Limited,INE24OJ01011,NSE
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,INE295F01017,NSE
BVCL,Barak Valley Cements Limited,INE139I01011,NSE
BYKE,The Byke Hospitality Limited,INE319B01014,NSE
CALSOFT,California Software Company Limited,INE526B01014,NSE
CAMLINFINE,Camlin Fine Sciences Limited,INE052I01032,NSE
CAMPUS,Campus Activewear Limited,INE278Y01022,NSE
CAMS,Computer Age Management Services Limited,INE596I01020,NSE
CANBK,Canara Bank,INE476A01022,NSE
CANFINHOME,Can Fin Homes Limited,INE477A01020,NSE
CANHLIFE,Canara HSBC Life Insurance Company Limited,INE01TY01017,NSE
CANTABIL,Cantabil Retail India Limited,INE068L01024,NSE
CAPACITE,Capacit'e Infraprojects Limited,INE264T01014,NSE
CAPILLARY,Capillary Technologies India Limited,INE0ILV01024,NSE
CAPITALSFB,Capital Small Finance Bank Limited,INE646H01017,NSE
CAPLIPOINT,Caplin Point Laboratories Limited,INE475E01026,NSE
CAPTRUST,Capital Trust Limited,INE707C01018,NSE
CARBORUNIV,Carborundum Universal Limited,INE120A01034,NSE
CARERATING,CARE Ratings Limited,INE752H01013,NSE
CARRARO,Carraro India Limited,INE0V7W01012,NSE
CARTRADE,Cartrade Tech Limited,INE290S01011,NSE
CARYSIL,CARYSIL LIMITED,INE482D01024,NSE
CASTROLIND,Castrol India Limited,INE172A01027,NSE
CCCL,Consolidated Construction Consortium Limited,INE429I01024,NSE
CCHHL,Country Club Hospitality & Holidays Limited,INE652F01027,NSE
CCL,CCL Products (India) Limited,INE421D01022,NSE
CDSL,Central Depository Services (India) Limited,INE736A01011,NSE
CEATLimited,CEAT Limited,INE482A01020,NSE
CEIGALL,Ceigall India Limited,INE0AG901020,NSE
CELEBRITY,Celebrity Fashions Limited,INE185H01016,NSE
CELLO,Cello World Limited,INE0LMW01024,NSE
CEMPRO,Cemindia Projects Limited,INE686A01026,NSE
CENTENKA,Century Enka Limited,INE485A01015,NSE
CENTEXT,Century Extrusions Limited,INE281A01026,NSE
CENTRALBK,Central Bank of India,INE483A01010,NSE
CENTRUM,Centrum Capital Limited,INE660C01027,NSE
CENTUM,Centum Electronics Limited,INE320B01020,NSE
CENTURYPLY,Century Plyboards (India) Limited,INE348B01021,NSE
CERA,Cera Sanitaryware Limited,INE739E01017,NSE
CEREBRAINT,Cerebra Integrated Technologies Limited,INE345B01019,NSE
CESC,CESC Limited,INE486A01021,NSE
CEWATER,Concord Enviro Systems Limited,INE037Z01029,NSE
CGCL,Capri Global Capital Limited,INE180C01042,NSE
CGPOWER,CG Power and Industrial Solutions Limited,INE067A01029,NSE
CHALET,Chalet Hotels Limited,INE427F01016,NSE
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,INE085A01013,NSE
CHEMBOND,Chembond Material Technologies Limited,INE995D01025,NSE
CHEMBONDCH,Chembond Chemicals Limited,INE0TGX01019,NSE
CHEMCON,Chemcon Speciality Chemicals Limited,INE03YM01018,NSE
CHEMFAB,Chemfab Alkalis Limited,INE783X01023,NSE
CHEMPLASTS,Chemplast Sanmar Limited,INE488A01050,NSE
CHENNPETRO,Chennai Petroleum Corporation Limited,INE178A01016,NSE
CHEVIOT,Cheviot Company Limited,INE974B01016,NSE
CHOICEIN,Choice International Limited,INE102B01014,NSE
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,INE121A01024,NSE
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,INE149A01033,NSE
CIEINDIA,CIE Automotive India Limited,INE536H01010,NSE
CIFL,Capital India Finance Limited,INE345H01024,NSE
CIGNITITEC,Cigniti Technologies Limited,INE675C01017,NSE
CINELINE,Cineline India Limited,INE704H01022,NSE
CINEVISTA,Cinevista Limited,INE039B01026,NSE
CIPLA,Cipla Limited,INE059A01026,NSE
CLEAN,Clean Science and Technology Limited,INE227W01023,NSE
CLEDUCATE,CL Educate Limited,INE201M01029,NSE
CLSEL,Chaman Lal Setia Exports Limited,INE419D01026,NSE
CMSINFO,CMS Info Systems Limited,INE925R01014,NSE
CNL,Creative Newtech Limited,INE985W01018,NSE
COALINDIA,Coal India Limited,INE522F01014,NSE
COASTCORP,Coastal Corporation Limited,INE377E01024,NSE
COCHINSHIP,Cochin Shipyard Limited,INE704P01025,NSE
COFFEEDAY,Coffee Day Enterprises Limited,INE335K01011,NSE
COFORGE,Coforge Limited,INE591G01025,NSE
COHANCE,Cohance Lifesciences Limited,INE03QK01018,NSE
COLPAL,Colgate Palmolive (India) Limited,INE259A01022,NSE
COMPINFO,Compuage Infocom Limited,INE070C01037,NSE
COMPUSOFT,Compucom Software Limited,INE453B01029,NSE
COMSYN,Commercial Syn Bags Limited,INE073V01015,NSE
CONCOR,Container Corporation of India Limited,INE111A01025,NSE
CONCORDBIO,Concord Biotech Limited,INE338H01029,NSE
CONFIPET,Confidence Petroleum India Limited,INE552D01024,NSE
CONSOFINVT,Consolidated Finvest & Holdings Limited,INE025A01027,NSE
CONTROLPR,Control Print Limited,INE663B01015,NSE
CORALFINAC,Coral India Finance & Housing Limited,INE558D01021,NSE
CORDSCABLE,Cords Cable Industries Limited,INE792I01017,NSE
COROMANDEL,Coromandel International Limited,INE169A01031,NSE
